system:time_start,land_evapotranspiration_flux
"Mar 31, 2015",2.065
"Apr 30, 2015",2.418
"May 31, 2015",1.819
"Jun 30, 2015",1.389
"Jul 31, 2015",1.311
"Aug 31, 2015",0.988
"Sep 30, 2015",1.436
"Oct 31, 2015",2.571
"Nov 30, 2015",2.906
"Dec 31, 2015",2.065
"Jan 31, 2016",1.724
"Feb 29, 2016",1.622
"Mar 31, 2016",2.068
"Apr 30, 2016",2.471
"May 31, 2016",1.58
"Jun 30, 2016",1.191
"Jul 31, 2016",1.223
"Aug 31, 2016",0.971
"Sep 30, 2016",0.882
"Oct 31, 2016",1.646
"Nov 30, 2016",1.815
"Dec 31, 2016",1.12
"Jan 31, 2017",1.187
"Feb 28, 2017",1.036
"Mar 31, 2017",1.617
"Apr 30, 2017",2.283
"May 31, 2017",1.656
"Jun 30, 2017",1.334
"Jul 31, 2017",1.372
"Aug 31, 2017",1.5
"Sep 30, 2017",1.633
"Oct 31, 2017",2.741
"Nov 30, 2017",2.011
"Dec 31, 2017",1.308
"Jan 31, 2018",0.934
"Feb 28, 2018",2.467
"Mar 31, 2018",3.348
"Apr 30, 2018",3.525
"May 31, 2018",2.341
"Jun 30, 2018",1.753
"Jul 31, 2018",1.479
"Aug 31, 2018",1.4
"Sep 30, 2018",1.331
"Oct 31, 2018",1.769
"Nov 30, 2018",2.114
"Dec 31, 2018",1.494
"Jan 31, 2019",1.082
"Feb 28, 2019",0.952
"Mar 31, 2019",1.133
"Apr 30, 2019",1.851
"May 31, 2019",1.618
"Jun 30, 2019",1.353
"Jul 31, 2019",1.295
"Aug 31, 2019",1.435
"Sep 30, 2019",2.856
"Oct 31, 2019",3.196
"Nov 30, 2019",3.606
"Dec 31, 2019",2.822
"Jan 31, 2020",2.483
"Feb 29, 2020",2.315
"Mar 31, 2020",2.582
"Apr 30, 2020",2.632
"May 31, 2020",1.846
"Jun 30, 2020",1.454
"Jul 31, 2020",1.337
"Aug 31, 2020",1.335
"Sep 30, 2020",1.428
"Oct 31, 2020",2.141
"Nov 30, 2020",2.033
"Dec 31, 2020",1.721
"Jan 31, 2021",1.404
"Feb 28, 2021",1.222
"Mar 31, 2021",1.843
"Apr 30, 2021",2.052
"May 31, 2021",1.39
"Jun 30, 2021",1.07
"Jul 31, 2021",1.044
"Aug 31, 2021",1.044
"Sep 30, 2021",1.099
"Oct 31, 2021",1.186
"Nov 30, 2021",2.067
"Dec 31, 2021",1.977
"Jan 31, 2022",1.67
"Feb 28, 2022",1.286
"Mar 31, 2022",1.58
"Apr 30, 2022",2.162
"May 31, 2022",1.421
"Jun 30, 2022",0.979
"Jul 31, 2022",1.016
"Aug 31, 2022",1.122
"Sep 30, 2022",0.939
"Oct 31, 2022",1.4
"Nov 30, 2022",1.739
"Dec 31, 2022",1.352
"Jan 31, 2023",0.852
"Feb 28, 2023",1.483
"Mar 31, 2023",3.087
"Apr 30, 2023",3.03
"May 31, 2023",1.843
"Jun 30, 2023",1.284
"Jul 31, 2023",1.173
"Aug 31, 2023",1.229
"Sep 30, 2023",1.68
"Oct 31, 2023",3.416
"Nov 30, 2023",3.472
"Dec 31, 2023",2.503
"Jan 31, 2024",1.97
"Feb 29, 2024",1.831
"Mar 31, 2024",2.671
"Apr 30, 2024",2.633
"May 31, 2024",1.757
"Jun 30, 2024",1.272
"Jul 31, 2024",1.398
"Aug 31, 2024",1.369
"Sep 30, 2024",1.149
